intended_pedal,scenario,heel_x,heel_y,heel_center_x,heel_center_y,heel_pressure,brake_pressed,accel_pressed,car_velocity_kph,heel_anchor_dx,heel_anchor_dy,actual_pressed_pedal,risk_score,safety
accel,heel_right_danger,"[0.5596, 0.6573]","[0.7867, 0.8562]",0.6084,0.8215,47.18,0,1,34.93,0.1572,-0.0135,accel,2.345,2
brake,safe_brake_cover,"[0.3688, 0.4712]","[0.7815, 0.8501]",0.42,0.8158,46.29,1,0,60.11,-0.0312,-0.0192,brake,0.0,0
brake,heel_right_danger,"[0.4906, 0.5933]","[0.8239, 0.8792]",0.5419,0.8516,36.48,1,0,67.64,0.0907,0.0166,brake,4.044,2
brake,heel_left_danger,"[0.2798, 0.3664]","[0.7904, 0.8681]",0.3231,0.8293,51.08,1,0,20.07,-0.1281,-0.0057,brake,2.326,2
brake,safe_centered,"[0.4004, 0.5101]","[0.8334, 0.8788]",0.4553,0.8561,43.61,1,0,39.27,0.0041,0.0211,brake,0.0,0
accel,brake_press_low_speed_warning,"[0.4006, 0.4807]","[0.7948, 0.8652]",0.4407,0.83,49.74,1,0,9.66,-0.0105,-0.005,brake,5.5,2
accel,heel_right_warning,"[0.4615, 0.5581]","[0.8186, 0.8915]",0.5098,0.8551,52.94,0,1,22.86,0.0586,0.0201,accel,0.372,1
accel,safe_brake_cover,"[0.3937, 0.4894]","[0.8465, 0.899]",0.4416,0.8728,39.27,0,1,13.76,-0.0096,0.0378,accel,0.0,0
accel,safe_brake_cover,"[0.3932, 0.4772]","[0.7934, 0.857]",0.4352,0.8252,36.99,0,1,22.05,-0.016,-0.0098,accel,0.0,0
brake,no_pedal_danger,"[0.3918, 0.4754]","[0.8209, 0.913]",0.4336,0.8669,100.0,0,0,18.83,-0.0176,0.0319,none,2.5,2
accel,heel_left_warning,"[0.3467, 0.4584]","[0.8233, 0.8985]",0.4025,0.8609,46.86,0,1,30.08,-0.0487,0.0259,accel,0.671,1
accel,safe_brake_cover,"[0.3884, 0.4954]","[0.7899, 0.8721]",0.4419,0.831,45.24,0,1,17.34,-0.0093,-0.004,accel,0.0,0
accel,heel_right_warning,"[0.4316, 0.563]","[0.7797, 0.8686]",0.4973,0.8242,55.24,0,1,32.44,0.0461,-0.0108,accel,0.122,1
brake,safe_brake_cover,"[0.3851, 0.4923]","[0.7938, 0.8428]",0.4387,0.8183,51.42,1,0,41.68,-0.0125,-0.0167,brake,0.0,0
accel,panic_random_danger,"[0.5685, 0.6708]","[0.8399, 0.9275]",0.6197,0.8837,18.5,1,0,29.96,0.1685,0.0487,brake,8.07,2
accel,heel_too_far_warning,"[0.3918, 0.5177]","[0.888, 0.9396]",0.4548,0.9138,60.5,0,1,39.25,0.0036,0.0788,accel,0.635,1
accel,safe_brake_cover,"[0.3583, 0.4843]","[0.7879, 0.872]",0.4213,0.83,47.51,0,1,30.99,-0.0299,-0.005,accel,0.0,0
accel,accel_press_high_speed_warning,"[0.4164, 0.5059]","[0.7896, 0.8715]",0.4611,0.8306,38.04,0,1,62.8,0.0099,-0.0044,accel,1.0,1
accel,no_pedal_danger,"[0.3884, 0.5157]","[0.8132, 0.892]",0.452,0.8526,33.42,0,0,55.52,0.0008,0.0176,none,3.9,2
accel,heel_left_danger,"[0.2656, 0.3504]","[0.8225, 0.8929]",0.308,0.8577,38.75,0,1,15.42,-0.1432,0.0227,accel,6.147,2
brake,heel_left_warning,"[0.3318, 0.4363]","[0.8169, 0.8878]",0.3841,0.8523,55.55,1,0,0.0,-0.0671,0.0173,brake,1.343,1
accel,heel_too_far_warning,"[0.3913, 0.4969]","[0.8773, 0.9575]",0.4441,0.9174,44.72,0,1,57.62,-0.0071,0.0824,accel,1.752,1
brake,safe_slight_right,"[0.4113, 0.5091]","[0.8044, 0.8726]",0.4602,0.8385,47.07,1,0,25.91,0.009,0.0035,brake,0.0,0
brake,safe_slight_right,"[0.4078, 0.5109]","[0.8172, 0.8973]",0.4593,0.8572,44.09,1,0,26.49,0.0081,0.0222,brake,0.0,0
accel,accel_press_high_speed_warning,"[0.4128, 0.5098]","[0.8203, 0.8663]",0.4613,0.8433,68.65,0,1,89.93,0.0101,0.0083,accel,1.0,1
brake,safe_slight_right,"[0.4294, 0.5175]","[0.7733, 0.8486]",0.4735,0.811,48.19,1,0,15.58,0.0223,-0.024,brake,0.29,0
accel,safe_slight_right,"[0.3746, 0.4852]","[0.8, 0.8716]",0.4299,0.8358,50.08,0,1,29.51,-0.0213,0.0008,accel,0.0,0
accel,safe_slight_right,"[0.408, 0.5021]","[0.7942, 0.8704]",0.4551,0.8323,41.87,0,1,33.85,0.0039,-0.0027,accel,0.0,0
brake,safe_brake_cover,"[0.375, 0.4649]","[0.7761, 0.855]",0.4199,0.8156,41.72,1,0,5.33,-0.0313,-0.0194,brake,0.0,0
brake,brake_press_low_speed_warning,"[0.4164, 0.5178]","[0.804, 0.8639]",0.4671,0.834,44.46,1,0,11.41,0.0159,-0.001,brake,0.037,1
accel,safe_slight_right,"[0.4087, 0.5146]","[0.8183, 0.8758]",0.4617,0.8471,47.8,0,1,7.41,0.0105,0.0121,accel,0.0,0
brake,accel_press_high_speed_warning,"[0.4204, 0.5043]","[0.7949, 0.857]",0.4623,0.8259,63.42,0,1,55.59,0.0111,-0.0091,accel,5.5,2
brake,heel_too_close_warning,"[0.3975, 0.5135]","[0.7458, 0.8118]",0.4555,0.7788,63.26,1,0,8.37,0.0043,-0.0562,brake,0.078,1
brake,heel_left_warning,"[0.3562, 0.4586]","[0.8228, 0.9057]",0.4074,0.8643,41.7,1,0,33.11,-0.0438,0.0293,brake,0.076,1
accel,heel_too_close_warning,"[0.4133, 0.4966]","[0.7159, 0.7804]",0.455,0.7481,47.77,0,1,0.83,0.0038,-0.0869,accel,0.461,1
brake,safe_centered,"[0.3918, 0.4875]","[0.8041, 0.8763]",0.4397,0.8402,48.95,1,0,32.3,-0.0115,0.0052,brake,0.0,0
brake,brake_press_low_speed_warning,"[0.3858, 0.4892]","[0.7915, 0.8787]",0.4375,0.8351,52.01,1,0,16.39,-0.0137,0.0001,brake,0.0,1
brake,accel_press_high_speed_warning,"[0.4055, 0.4928]","[0.7843, 0.8623]",0.4492,0.8233,73.28,0,1,67.16,-0.002,-0.0117,accel,5.5,2
accel,safe_brake_cover,"[0.4008, 0.4957]","[0.8073, 0.8534]",0.4483,0.8304,32.04,0,1,2.02,-0.0029,-0.0046,accel,0.0,0
brake,safe_centered,"[0.3966, 0.4885]","[0.7629, 0.862]",0.4426,0.8125,47.48,1,0,5.0,-0.0086,-0.0225,brake,0.0,0
brake,heel_right_warning,"[0.4376, 0.5494]","[0.7935, 0.8676]",0.4935,0.8305,58.35,1,0,30.62,0.0423,-0.0045,brake,1.137,1
accel,heel_left_danger,"[0.2818, 0.379]","[0.777, 0.8639]",0.3304,0.8204,50.36,0,1,52.04,-0.1208,-0.0146,accel,4.357,2
brake,heel_left_danger,"[0.3086, 0.4019]","[0.8208, 0.8962]",0.3553,0.8585,33.51,1,0,23.06,-0.0959,0.0235,brake,1.119,2
brake,heel_right_warning,"[0.4683, 0.5559]","[0.7626, 0.8356]",0.5121,0.7991,49.03,1,0,5.02,0.0609,-0.0359,brake,2.253,1
brake,no_pedal_danger,"[0.3987, 0.5086]","[0.7826, 0.8572]",0.4536,0.8199,65.35,0,0,54.72,0.0024,-0.0151,none,3.9,2
accel,no_pedal_danger,"[0.4079, 0.4924]","[0.8029, 0.8579]",0.4502,0.8304,43.67,0,0,28.44,-0.001,-0.0046,none,3.9,2
brake,heel_right_danger,"[0.5133, 0.6109]","[0.7924, 0.8546]",0.5621,0.8235,65.23,1,0,53.31,0.1109,-0.0115,brake,5.257,2
brake,heel_right_warning,"[0.4739, 0.552]","[0.7959, 0.8819]",0.513,0.8389,64.73,1,0,35.04,0.0618,0.0039,brake,2.306,1
accel,no_pedal_danger,"[0.3803, 0.4642]","[0.7784, 0.8569]",0.4223,0.8177,86.96,0,0,36.71,-0.0289,-0.0173,none,3.9,2
accel,heel_too_far_warning,"[0.3904, 0.5177]","[0.9336, 0.9838]",0.454,0.9587,36.91,0,1,37.98,0.0028,0.1237,accel,2.095,1
accel,brake_press_low_speed_warning,"[0.4071, 0.5148]","[0.8071, 0.8702]",0.461,0.8386,76.12,1,0,0.0,0.0098,0.0036,brake,5.5,2
brake,wrong_pedal_danger,"[0.4203, 0.4951]","[0.8082, 0.8847]",0.4577,0.8464,41.49,0,1,22.48,0.0065,0.0114,accel,5.5,2
accel,brake_press_low_speed_warning,"[0.4012, 0.5119]","[0.7865, 0.8594]",0.4566,0.8229,47.79,1,0,0.87,0.0054,-0.0121,brake,5.5,2
brake,no_pedal_danger,"[0.3981, 0.5051]","[0.8072, 0.8708]",0.4516,0.839,50.83,0,0,30.85,0.0004,0.004,none,3.9,2
accel,safe_slight_right,"[0.4, 0.471]","[0.826, 0.8923]",0.4355,0.8592,41.71,0,1,19.14,-0.0157,0.0242,accel,0.0,0
accel,safe_slight_right,"[0.4044, 0.5352]","[0.8068, 0.8789]",0.4698,0.8429,41.3,0,1,32.39,0.0186,0.0079,accel,0.0,0
accel,heel_left_warning,"[0.3139, 0.4112]","[0.7925, 0.8825]",0.3625,0.8375,40.44,0,1,63.57,-0.0887,0.0025,accel,3.537,2
brake,safe_brake_cover,"[0.3947, 0.4693]","[0.8028, 0.8726]",0.432,0.8377,36.78,1,0,33.47,-0.0192,0.0027,brake,0.0,0
accel,heel_right_danger,"[0.5445, 0.606]","[0.7711, 0.8505]",0.5753,0.8108,61.09,0,1,18.59,0.1241,-0.0242,accel,1.682,2
brake,safe_brake_cover,"[0.3918, 0.4981]","[0.8029, 0.8776]",0.445,0.8402,42.66,1,0,43.39,-0.0062,0.0052,brake,0.0,0
accel,heel_too_far_warning,"[0.4195, 0.513]","[0.8895, 0.9537]",0.4662,0.9216,59.7,0,1,25.99,0.015,0.0866,accel,0.89,1
brake,heel_left_warning,"[0.3572, 0.4234]","[0.8097, 0.8698]",0.3903,0.8397,42.39,1,0,47.23,-0.0609,0.0047,brake,0.418,1
brake,safe_brake_cover,"[0.3896, 0.4741]","[0.7973, 0.8666]",0.4318,0.832,52.39,1,0,34.57,-0.0194,-0.003,brake,0.0,0
accel,safe_slight_right,"[0.4106, 0.5212]","[0.8029, 0.8605]",0.4659,0.8317,43.9,0,1,23.84,0.0147,-0.0033,accel,0.0,0
brake,heel_too_close_warning,"[0.3832, 0.4817]","[0.7179, 0.8014]",0.4324,0.7597,25.91,1,0,15.64,-0.0188,-0.0753,brake,0.317,1
accel,heel_too_far_warning,"[0.4271, 0.5103]","[0.8995, 0.9748]",0.4687,0.9372,51.64,0,1,15.76,0.0175,0.1022,accel,1.395,1
accel,safe_brake_cover,"[0.4101, 0.4858]","[0.8159, 0.8589]",0.4479,0.8374,52.01,0,1,33.68,-0.0033,0.0024,accel,0.0,0
brake,heel_too_close_warning,"[0.375, 0.4828]","[0.7166, 0.7822]",0.4289,0.7494,41.18,1,0,60.76,-0.0223,-0.0856,brake,0.445,1
brake,heel_right_danger,"[0.545, 0.6312]","[0.8256, 0.9059]",0.5881,0.8657,66.59,1,0,60.45,0.1369,0.0307,brake,6.814,2
brake,safe_centered,"[0.4063, 0.5114]","[0.8218, 0.8704]",0.4588,0.8461,44.67,1,0,46.92,0.0076,0.0111,brake,0.0,0
accel,heel_left_warning,"[0.3583, 0.4786]","[0.8259, 0.896]",0.4185,0.8609,53.23,0,1,38.08,-0.0327,0.0259,accel,0.073,1
accel,safe_slight_right,"[0.3915, 0.5185]","[0.7751, 0.8558]",0.455,0.8155,44.09,0,1,23.04,0.0038,-0.0195,accel,0.0,0
accel,panic_random_danger,"[0.2565, 0.3624]","[0.6409, 0.6894]",0.3095,0.6652,55.16,0,1,45.22,-0.1417,-0.1698,accel,9.026,2
brake,safe_centered,"[0.4216, 0.5054]","[0.7985, 0.8727]",0.4635,0.8356,47.03,1,0,26.17,0.0123,0.0006,brake,0.0,0
accel,brake_press_low_speed_warning,"[0.398, 0.5012]","[0.7825, 0.8501]",0.4496,0.8163,48.33,1,0,4.72,-0.0016,-0.0187,brake,5.5,2
brake,safe_centered,"[0.3918, 0.4955]","[0.803, 0.8763]",0.4437,0.8397,34.88,1,0,32.37,-0.0075,0.0047,brake,0.0,0
brake,safe_brake_cover,"[0.3728, 0.4732]","[0.769, 0.8375]",0.423,0.8033,53.71,1,0,38.41,-0.0282,-0.0317,brake,0.0,0
accel,no_pedal_danger,"[0.4256, 0.5143]","[0.7884, 0.8477]",0.4699,0.8181,52.11,0,0,35.16,0.0187,-0.0169,none,3.9,2
brake,heel_right_warning,"[0.4523, 0.5509]","[0.8278, 0.8994]",0.5016,0.8636,55.02,1,0,60.06,0.0504,0.0286,brake,1.624,1
brake,heel_too_close_warning,"[0.3859, 0.4995]","[0.7256, 0.796]",0.4427,0.7608,54.06,1,0,24.16,-0.0085,-0.0742,brake,0.302,1
accel,safe_brake_cover,"[0.3997, 0.4781]","[0.7713, 0.8406]",0.4389,0.8059,44.67,0,1,12.22,-0.0123,-0.0291,accel,0.0,0
brake,safe_brake_cover,"[0.3724, 0.4766]","[0.7999, 0.8578]",0.4245,0.8289,49.79,1,0,37.35,-0.0267,-0.0061,brake,0.0,0
brake,heel_too_close_warning,"[0.3779, 0.4775]","[0.7226, 0.7953]",0.4277,0.7589,61.42,1,0,30.35,-0.0235,-0.0761,brake,0.326,1
accel,panic_random_danger,"[0.292, 0.3795]","[0.7842, 0.8475]",0.3358,0.8159,50.87,1,0,0.92,-0.1154,-0.0191,brake,9.429,2
brake,safe_brake_cover,"[0.411, 0.488]","[0.7875, 0.8622]",0.4495,0.8249,44.82,1,0,44.7,-0.0017,-0.0101,brake,0.0,0
brake,safe_slight_right,"[0.407, 0.508]","[0.8374, 0.8944]",0.4575,0.8659,37.99,1,0,20.12,0.0063,0.0309,brake,0.0,0
accel,safe_centered,"[0.383, 0.5045]","[0.8116, 0.888]",0.4437,0.8498,54.91,0,1,37.89,-0.0075,0.0148,accel,0.0,0
brake,safe_brake_cover,"[0.3618, 0.49]","[0.8028, 0.8708]",0.4259,0.8368,47.31,1,0,35.67,-0.0253,0.0018,brake,0.0,0
accel,safe_centered,"[0.3889, 0.5136]","[0.8049, 0.8786]",0.4513,0.8417,48.72,0,1,37.98,0.0001,0.0067,accel,0.0,0
accel,safe_brake_cover,"[0.392, 0.4993]","[0.8058, 0.8902]",0.4456,0.848,46.31,0,1,34.64,-0.0056,0.013,accel,0.0,0
accel,safe_centered,"[0.379, 0.4531]","[0.803, 0.8785]",0.416,0.8407,47.82,0,1,0.0,-0.0352,0.0057,accel,0.138,0
accel,safe_centered,"[0.4177, 0.5176]","[0.7903, 0.8652]",0.4676,0.8277,56.93,0,1,50.92,0.0164,-0.0073,accel,0.0,0
brake,safe_slight_right,"[0.4204, 0.5092]","[0.7939, 0.875]",0.4648,0.8345,44.28,1,0,34.42,0.0136,-0.0005,brake,0.0,0
brake,heel_left_warning,"[0.3426, 0.4592]","[0.8117, 0.8768]",0.4009,0.8443,35.41,1,0,15.33,-0.0503,0.0093,brake,0.206,1
brake,wrong_pedal_danger,"[0.38, 0.4856]","[0.7997, 0.8772]",0.4328,0.8384,35.94,0,1,25.36,-0.0184,0.0034,accel,5.5,2
brake,accel_press_high_speed_warning,"[0.4019, 0.515]","[0.7866, 0.8743]",0.4585,0.8305,83.92,0,1,56.21,0.0073,-0.0045,accel,5.5,2
accel,safe_slight_right,"[0.4084, 0.5207]","[0.8119, 0.8811]",0.4645,0.8465,38.17,0,1,25.57,0.0133,0.0115,accel,0.0,0
accel,safe_centered,"[0.404, 0.4984]","[0.8006, 0.8796]",0.4512,0.8401,47.03,0,1,32.04,0.0,0.0051,accel,0.0,0
accel,safe_brake_cover,"[0.3873, 0.4881]","[0.7768, 0.8435]",0.4377,0.8102,41.31,0,1,11.75,-0.0135,-0.0248,accel,0.0,0
brake,heel_right_warning,"[0.4663, 0.5608]","[0.8192, 0.8631]",0.5135,0.8411,57.54,1,0,0.0,0.0623,0.0061,brake,3.141,2
brake,safe_centered,"[0.4118, 0.5191]","[0.8062, 0.8699]",0.4655,0.838,43.99,1,0,30.99,0.0143,0.003,brake,0.0,0
accel,safe_centered,"[0.4036, 0.5182]","[0.806, 0.8844]",0.4609,0.8452,44.82,0,1,12.54,0.0097,0.0102,accel,0.0,0
accel,safe_centered,"[0.3915, 0.498]","[0.8156, 0.8707]",0.4447,0.8431,42.37,0,1,12.53,-0.0065,0.0081,accel,0.0,0
brake,brake_press_low_speed_warning,"[0.3816, 0.4878]","[0.8214, 0.8928]",0.4347,0.8571,55.89,1,0,6.6,-0.0165,0.0221,brake,0.0,1
brake,safe_centered,"[0.3962, 0.4953]","[0.8234, 0.8806]",0.4457,0.852,47.64,1,0,28.98,-0.0055,0.017,brake,0.0,0
brake,safe_slight_right,"[0.4134, 0.4997]","[0.7819, 0.8546]",0.4565,0.8183,54.55,1,0,15.7,0.0053,-0.0167,brake,0.0,0
brake,no_pedal_danger,"[0.4152, 0.5217]","[0.8033, 0.874]",0.4684,0.8387,58.66,0,0,39.28,0.0172,0.0037,none,3.989,2
brake,safe_centered,"[0.3871, 0.4782]","[0.8097, 0.8798]",0.4327,0.8448,50.36,1,0,34.13,-0.0185,0.0098,brake,0.0,0
accel,no_pedal_danger,"[0.4086, 0.5232]","[0.8162, 0.9011]",0.4659,0.8587,73.95,0,0,50.9,0.0147,0.0237,none,3.9,2
brake,safe_centered,"[0.4176, 0.4973]","[0.7883, 0.8488]",0.4574,0.8185,54.43,1,0,47.81,0.0062,-0.0165,brake,0.0,0
brake,heel_right_warning,"[0.4647, 0.5659]","[0.7759, 0.8595]",0.5153,0.8177,47.03,1,0,33.63,0.0641,-0.0173,brake,2.444,1
brake,safe_centered,"[0.4084, 0.5048]","[0.8012, 0.8689]",0.4566,0.835,41.84,1,0,27.5,0.0054,0.0,brake,0.0,0
accel,safe_slight_right,"[0.4163, 0.506]","[0.7602, 0.8468]",0.4612,0.8035,42.68,0,1,20.84,0.01,-0.0315,accel,0.0,0
accel,safe_slight_right,"[0.431, 0.4963]","[0.8107, 0.8567]",0.4636,0.8337,39.65,0,1,44.63,0.0124,-0.0013,accel,0.0,0
accel,safe_slight_right,"[0.4106, 0.5134]","[0.7885, 0.87]",0.462,0.8292,46.18,0,1,36.36,0.0108,-0.0058,accel,0.0,0
accel,safe_centered,"[0.4209, 0.4841]","[0.8085, 0.8615]",0.4525,0.835,34.5,0,1,41.68,0.0013,0.0,accel,0.0,0
brake,safe_centered,"[0.3647, 0.5015]","[0.7744, 0.866]",0.4331,0.8202,40.71,1,0,25.95,-0.0181,-0.0148,brake,0.0,0
accel,heel_left_warning,"[0.3348, 0.4108]","[0.8028, 0.8637]",0.3728,0.8332,52.63,0,1,32.64,-0.0784,-0.0018,accel,2.057,1
accel,heel_right_warning,"[0.4474, 0.5472]","[0.8211, 0.8746]",0.4973,0.8478,47.52,0,1,44.13,0.0461,0.0128,accel,0.121,1
accel,safe_centered,"[0.4014, 0.4976]","[0.8185, 0.8975]",0.4495,0.858,59.47,0,1,36.09,-0.0017,0.023,accel,0.0,0
brake,safe_centered,"[0.4, 0.4802]","[0.8252, 0.8894]",0.4401,0.8573,47.36,1,0,23.18,-0.0111,0.0223,brake,0.0,0
brake,heel_left_danger,"[0.2976, 0.402]","[0.784, 0.8646]",0.3498,0.8243,49.66,1,0,81.07,-0.1014,-0.0107,brake,1.228,2
accel,panic_random_danger,"[0.1272, 0.2265]","[0.7931, 0.8786]",0.1769,0.8359,63.16,1,0,61.5,-0.2743,0.0009,brake,22.139,2
brake,safe_slight_right,"[0.4176, 0.5261]","[0.8142, 0.8776]",0.4719,0.8459,35.02,1,0,45.83,0.0207,0.0109,brake,0.227,0
brake,heel_too_far_warning,"[0.3736, 0.474]","[0.8798, 0.9566]",0.4238,0.9182,57.8,1,0,19.32,-0.0274,0.0832,brake,0.78,1
accel,heel_left_danger,"[0.2742, 0.3752]","[0.8277, 0.8928]",0.3247,0.8603,29.88,0,1,46.81,-0.1265,0.0253,accel,4.816,2
accel,safe_centered,"[0.4105, 0.5151]","[0.8271, 0.8884]",0.4628,0.8578,38.97,0,1,14.44,0.0116,0.0228,accel,0.0,0
accel,safe_centered,"[0.4213, 0.5228]","[0.788, 0.8675]",0.4721,0.8278,40.42,0,1,35.99,0.0209,-0.0072,accel,0.0,0
accel,safe_slight_right,"[0.3898, 0.5129]","[0.8012, 0.8886]",0.4513,0.8449,41.0,0,1,31.12,0.0001,0.0099,accel,0.0,0
brake,accel_press_high_speed_warning,"[0.3988, 0.5042]","[0.7923, 0.8597]",0.4515,0.826,74.9,0,1,81.44,0.0003,-0.009,accel,5.5,2
brake,accel_press_high_speed_warning,"[0.4207, 0.5008]","[0.801, 0.8708]",0.4608,0.8359,87.05,0,1,65.01,0.0096,0.0009,accel,5.5,2
accel,safe_centered,"[0.394, 0.4979]","[0.789, 0.8692]",0.4459,0.8291,31.4,0,1,0.0,-0.0053,-0.0059,accel,0.0,0
accel,safe_slight_right,"[0.3925, 0.5017]","[0.7963, 0.8753]",0.4471,0.8358,41.99,0,1,0.0,-0.0041,0.0008,accel,0.0,0
accel,accel_press_high_speed_warning,"[0.4248, 0.5071]","[0.7535, 0.8332]",0.466,0.7933,43.57,0,1,57.83,0.0148,-0.0417,accel,1.0,1
brake,safe_brake_cover,"[0.403, 0.5209]","[0.8015, 0.8624]",0.4619,0.832,39.51,1,0,17.21,0.0107,-0.003,brake,0.0,0
brake,heel_too_far_warning,"[0.4049, 0.503]","[0.8957, 0.9746]",0.4539,0.9352,30.34,1,0,6.58,0.0027,0.1002,brake,1.331,1
brake,heel_left_danger,"[0.251, 0.3609]","[0.7899, 0.8924]",0.306,0.8412,53.79,1,0,48.43,-0.1452,0.0062,brake,3.239,2
brake,safe_centered,"[0.3891, 0.5238]","[0.7901, 0.8641]",0.4565,0.8271,38.14,1,0,23.55,0.0053,-0.0079,brake,0.0,0
accel,heel_right_danger,"[0.5241, 0.6528]","[0.8056, 0.8812]",0.5884,0.8434,51.36,0,1,34.35,0.1372,0.0084,accel,1.944,2
brake,accel_press_high_speed_warning,"[0.4112, 0.4852]","[0.7892, 0.8695]",0.4482,0.8293,51.3,0,1,73.0,-0.003,-0.0057,accel,5.5,2
accel,heel_right_danger,"[0.5434, 0.6558]","[0.8163, 0.8911]",0.5996,0.8537,32.92,0,1,0.73,0.1484,0.0187,accel,2.168,2
accel,heel_left_danger,"[0.2547, 0.3731]","[0.8177, 0.8577]",0.3139,0.8377,52.24,0,1,54.53,-0.1373,0.0027,accel,5.674,2
accel,safe_centered,"[0.3998, 0.5049]","[0.8242, 0.8832]",0.4523,0.8537,38.62,0,1,10.96,0.0011,0.0187,accel,0.0,0
accel,safe_centered,"[0.4022, 0.5113]","[0.773, 0.8408]",0.4567,0.8069,48.6,0,1,46.35,0.0055,-0.0281,accel,0.0,0
accel,safe_slight_right,"[0.3959, 0.5063]","[0.7954, 0.8685]",0.4511,0.8319,49.21,0,1,17.03,-0.0001,-0.0031,accel,0.0,0
accel,safe_centered,"[0.3867, 0.5056]","[0.8252, 0.9117]",0.4462,0.8684,37.18,0,1,5.18,-0.005,0.0334,accel,0.0,0
brake,safe_brake_cover,"[0.3951, 0.501]","[0.792, 0.8788]",0.4481,0.8354,45.45,1,0,35.07,-0.0031,0.0004,brake,0.0,0
brake,safe_slight_right,"[0.4242, 0.5103]","[0.815, 0.8746]",0.4673,0.8448,30.92,1,0,34.21,0.0161,0.0098,brake,0.043,0
accel,heel_too_close_warning,"[0.4009, 0.4909]","[0.6738, 0.7481]",0.4459,0.7109,35.7,0,1,51.93,-0.0053,-0.1241,accel,1.507,1
brake,heel_right_warning,"[0.4659, 0.557]","[0.8368, 0.9029]",0.5114,0.8699,56.61,1,0,27.09,0.0602,0.0349,brake,2.212,1
accel,no_pedal_danger,"[0.4181, 0.5195]","[0.7876, 0.879]",0.4688,0.8333,62.36,0,0,83.39,0.0176,-0.0017,none,3.9,2
accel,no_pedal_danger,"[0.3907, 0.4913]","[0.8146, 0.8692]",0.441,0.8419,36.6,0,0,59.79,-0.0102,0.0069,none,3.9,2
accel,heel_right_warning,"[0.4646, 0.5618]","[0.8179, 0.8859]",0.5132,0.8519,74.06,0,1,0.0,0.062,0.0169,accel,0.44,1
brake,safe_slight_right,"[0.4285, 0.5335]","[0.8021, 0.8814]",0.481,0.8417,37.52,1,0,39.6,0.0298,0.0067,brake,0.593,0
